FLACOURTIACEAE|Aberia zeyheri |Aberia zeyheri Sond.||No|Dovyalis zeyheri|[No lifecycle defined]|[No lifeform defined]|0|0|0|0|[No distribution defined]
FABACEAE|Acacia caffra |Acacia caffra (Thunb.) Willd.|LC|No||Perennial|Shrub, tree|3|18|15|1723|B, EC, FS, FSA, G, KZN, LIM, M, NW, S, SA, WC
FABACEAE|Acacia karroo |Acacia karroo Hayne|LC|No||Perennial|Shrub, tree|1|22|3|2406|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
AMARANTHACEAE|Achyropsis leptostachya |Achyropsis leptostachya (E.Mey. ex Meisn.) Baker & C.B.Clarke|LC|No||Perennial|Herb|0.15|0.6|5|1465|B, EC, FSA, G, KZN, LIM, M, NW, S, SA
PTERIDACEAE|Adiantum capillus-veneris|Adiantum capillus-veneris L.|LC|No||Perennial|Geophyte, herb, lithophyte|0.15|0.25|20|2000|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
PTERIDACEAE|Adiantum poiretii |Adiantum poiretii Wikstr.|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.33|100|1600|EC, FS, FSA, G, KZN, L, LIM, M, N, S, SA, WC
AGAPANTHACEAE|Agapanthus praecox |Agapanthus praecox Willd. subsp. minimus (Lindl.) F.M.Leight.|LC|No||Perennial|Herb|0.4|0.85|5|600|EC, FSA, SA, WC
POACEAE|Agrostis bergiana|Agrostis bergiana Trin. var. bergiana|LC|No||Annual (occ. perennial)|Graminoid|0|0.6|5|3000|EC, FS, FSA, KZN, L, SA, WC
POACEAE|Agrostis lachnantha |Agrostis lachnantha Nees var. lachnantha|LC|No||Annual|Graminoid|0.3|0.89|15|2900|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
AIZOACEAE|Aizoon glinoides |Aizoon glinoides L.f.|LC|No||Perennial|Herb, succulent|0.15|0.6|10|1465|EC, FSA, KZN, SA, WC
